hierarchy_id,child_type,child_id,parent_type,parent_id,is_exact,is_direct,listing,charting,mapping,filtering,countries
812,WPZ,8,LSOA,12,0,1,1,1,1,1,ENSW
813,WPZ,8,MSOA,13,1,0,1,1,1,1,ESW
814,WPZ,8,LAD,14,1,0,1,0,1,1,ENSW
815,WPZ,8,CTY,15,1,0,0,0,0,0,E
816,WPZ,8,RGN,16,1,0,0,0,0,0,E
817,WPZ,8,CTRY,17,1,0,0,0,0,0,ENSW
821,WPZ,8,PCS,21,0,0,0,0,1,0,ENSW
822,WPZ,8,PCD,22,0,0,0,0,1,0,ENSW
823,WPZ,8,PCT,23,0,0,0,0,1,0,ENSW
824,WPZ,8,PCA,24,0,0,0,0,0,0,ENSW
831,WPZ,8,PCON,31,0,0,0,0,1,0,ENSW
832,WPZ,8,WARD,32,0,0,0,0,1,0,ENSW
833,WPZ,8,CED,33,0,0,0,0,1,0,ENSW
841,WPZ,8,TTWA,41,0,0,0,0,1,0,E
842,WPZ,8,MTC,42,0,0,0,0,1,0,EW
844,WPZ,8,BUA,44,0,0,0,0,1,0,EW
843,WPZ,8,BUAS,43,0,0,0,0,1,0,EW
851,WPZ,8,PAR,51,0,0,0,0,1,0,EW
852,WPZ,8,PFN,52,0,0,0,0,1,0,EW
853,WPZ,8,PFA,53,0,0,0,0,1,0,E
854,WPZ,8,FRA,54,0,0,0,0,1,0,ENSW
855,WPZ,8,CSP,55,0,0,0,0,1,0,E
856,WPZ,8,LPA,56,0,0,0,0,1,0,E
857,WPZ,8,RGD,57,0,0,0,0,1,0,""
858,WPZ,8,LRF,58,0,0,0,0,1,0,""
861,WPZ,8,CCG,61,0,0,0,0,1,0,""
862,WPZ,8,STP,62,0,0,0,0,1,0,""
863,WPZ,8,NHSO,63,0,0,0,0,1,0,""
864,WPZ,8,NHSR,64,0,0,0,0,1,0,""
869,WPZ,8,CIS,69,0,0,0,0,1,0,""
112,OA,1,LSOA,12,1,1,1,1,1,1,ENSW
113,OA,1,MSOA,13,1,0,1,1,1,1,ESW
114,OA,1,LAD,14,1,0,1,0,1,1,ENSW
115,OA,1,CTY,15,1,0,0,0,0,0,E
116,OA,1,RGN,16,1,0,0,0,0,0,E
117,OA,1,CTRY,17,1,0,0,0,0,0,ENSW
121,OA,1,PCS,21,1,0,0,0,1,0,ENSW
122,OA,1,PCD,22,1,0,0,0,1,0,ENSW
123,OA,1,PCT,23,1,0,0,0,1,0,ENSW
124,OA,1,PCA,24,1,0,0,0,0,0,ENSW
131,OA,1,PCON,31,1,0,0,0,1,0,ENSW
132,OA,1,WARD,32,1,0,0,0,1,0,ENSW
133,OA,1,CED,33,1,0,0,0,1,0,ENSW
141,OA,1,TTWA,41,1,0,0,0,1,0,E
142,OA,1,MTC,42,1,0,0,0,1,0,EW
144,OA,1,BUA,44,1,0,0,0,1,0,EW
143,OA,1,BUAS,43,1,0,0,0,1,0,EW
151,OA,1,PAR,51,1,0,0,0,1,0,EW
152,OA,1,PFN,52,1,0,0,0,1,0,EW
153,OA,1,PFA,53,1,0,0,0,1,0,E
154,OA,1,FRA,54,1,0,0,0,1,0,ENSW
155,OA,1,CSP,55,1,0,0,0,1,0,E
156,OA,1,LPA,56,1,0,0,0,1,0,E
157,OA,1,RGD,57,1,0,0,0,1,0,""
158,OA,1,LRF,58,1,0,0,0,1,0,""
161,OA,1,CCG,61,1,0,0,0,1,0,""
162,OA,1,STP,62,1,0,0,0,1,0,""
163,OA,1,NHSO,63,1,0,0,0,1,0,""
164,OA,1,NHSR,64,1,0,0,0,1,0,""
169,OA,1,CIS,69,1,0,0,0,1,0,""
213,LSOA,2,MSOA,13,1,0,1,1,1,1,ESW
214,LSOA,2,LAD,14,1,0,1,0,1,1,ENSW
215,LSOA,2,CTY,15,1,0,0,0,0,0,E
216,LSOA,2,RGN,16,1,0,0,0,0,0,E
217,LSOA,2,CTRY,17,1,0,0,0,0,0,ENSW
221,LSOA,2,PCS,21,1,0,0,0,1,0,ENSW
222,LSOA,2,PCD,22,1,0,0,0,1,0,ENSW
223,LSOA,2,PCT,23,1,0,0,0,1,0,ENSW
224,LSOA,2,PCA,24,1,0,0,0,0,0,ENSW
231,LSOA,2,PCON,31,1,0,0,0,1,0,ENSW
232,LSOA,2,WARD,32,1,0,0,0,1,0,ENSW
233,LSOA,2,CED,33,1,0,0,0,1,0,ENSW
241,LSOA,2,TTWA,41,1,0,0,0,1,0,E
242,LSOA,2,MTC,42,1,0,0,0,1,0,EW
244,LSOA,2,BUA,44,1,0,0,0,1,0,EW
243,LSOA,2,BUAS,43,1,0,0,0,1,0,EW
251,LSOA,2,PAR,51,1,0,0,0,1,0,EW
252,LSOA,2,PFN,52,1,0,0,0,1,0,EW
253,LSOA,2,PFA,53,1,0,0,0,1,0,E
254,LSOA,2,FRA,54,1,0,0,0,1,0,ENSW
255,LSOA,2,CSP,55,1,0,0,0,1,0,E
256,LSOA,2,LPA,56,1,0,0,0,1,0,E
257,LSOA,2,RGD,57,1,0,0,0,1,0,""
258,LSOA,2,LRF,58,1,0,0,0,1,0,""
261,LSOA,2,CCG,61,1,0,0,0,1,0,""
262,LSOA,2,STP,62,1,0,0,0,1,0,""
263,LSOA,2,NHSO,63,1,0,0,0,1,0,""
264,LSOA,2,NHSR,64,1,0,0,0,1,0,""
269,LSOA,2,CIS,69,1,0,0,0,1,0,""
314,MSOA,3,LAD,14,1,1,1,1,1,1,ESW
315,MSOA,3,CTY,15,1,0,1,1,1,1,E
316,MSOA,3,RGN,16,1,0,1,1,1,1,E
317,MSOA,3,CTRY,17,1,0,1,1,1,1,ESW
322,MSOA,3,PCD,22,0,0,0,0,1,0,ENSW
323,MSOA,3,PCT,23,0,0,0,0,1,0,ENSW
324,MSOA,3,PCA,24,0,0,0,0,0,0,ENSW
341,MSOA,3,TTWA,41,0,0,0,0,1,0,ENSW
332,MSOA,3,WARD,32,0,0,0,0,1,0,ENSW
331,MSOA,3,PCON,31,0,0,0,0,1,0,ENSW
333,MSOA,3,CED,33,0,0,0,0,1,0,E
351,MSOA,3,PAR,51,0,0,0,0,1,0,EW
343,MSOA,3,BUAS,43,0,0,0,0,1,0,EW
344,MSOA,3,BUA,44,0,0,0,0,1,0,EW
342,MSOA,3,MTC,42,0,0,0,0,1,0,EW
353,MSOA,3,PFA,53,1,0,1,1,1,1,ESW
361,MSOA,3,CCG,61,1,0,0,0,1,0,ENSW
363,MSOA,3,NHSO,63,0,0,0,0,1,0,E
364,MSOA,3,NHSR,64,0,0,0,0,1,0,E
415,LAD,4,CTY,15,1,1,1,1,1,1,E
416,LAD,4,RGN,16,1,0,1,1,1,1,E
417,LAD,4,CTRY,17,1,0,1,1,1,1,ENSW
424,LAD,4,PCA,24,0,0,0,0,0,0,ENSW
453,LAD,4,PFA,53,1,0,1,1,1,1,ENSW
463,LAD,4,NHSO,63,0,0,0,0,1,0,E
464,LAD,4,NHSR,64,0,0,0,0,1,0,E
516,CTY,5,RGN,16,1,1,1,1,1,1,E
517,CTY,5,CTRY,17,1,0,1,1,1,1,E
617,RGN,6,CTRY,17,1,1,1,1,1,1,E
922,PCS,9,PCD,22,1,1,1,1,1,1,ENSW
923,PCS,9,PCT,23,1,0,0,0,1,1,ENSW
924,PCS,9,PCA,24,1,0,0,0,1,1,ENSW
914,PCS,9,LAD,14,0,0,0,0,1,1,ENSW
915,PCS,9,CTY,15,0,0,0,0,1,1,ENSW
916,PCS,9,RGN,16,0,0,0,0,1,1,ENSW
917,PCS,9,CTRY,17,0,0,0,0,1,1,ENSW
1023,PCD,10,PCT,23,1,1,1,1,1,1,ENSW
1024,PCD,10,PCA,24,1,0,1,1,1,1,ENSW
1014,PCD,10,LAD,14,0,0,0,0,1,1,ENSW
1015,PCD,10,CTY,15,0,0,0,0,1,1,ENSW
1016,PCD,10,RGN,16,0,0,0,0,1,1,ENSW
1017,PCD,10,CTRY,17,0,0,0,0,1,1,ENSW
1124,PCT,11,PCA,24,1,1,1,1,1,1,ENSW
1114,PCT,11,LAD,14,0,0,0,0,1,1,ENSW
1115,PCT,11,CTY,15,0,0,0,0,1,1,ENSW
1116,PCT,11,RGN,16,0,0,0,0,1,1,ENSW
1117,PCT,11,CTRY,17,0,0,0,0,1,1,ENSW
1216,PCA,12,RGN,16,0,0,0,0,1,1,ENSW
1217,PCA,12,CTRY,17,0,0,0,0,1,1,ENSW
1616,TTWA,16,RGN,16,0,0,1,1,1,1,ENSW
1617,TTWA,16,CTRY,17,0,0,1,1,1,1,ENSW
1414,WARD,14,LAD,14,1,0,1,1,1,1,ENSW
1415,WARD,14,CTY,15,1,0,0,0,1,1,ENSW
1416,WARD,14,RGN,16,1,0,0,0,1,1,ENSW
1417,WARD,14,CTRY,17,1,0,0,0,1,1,ENSW
1453,WARD,14,PFA,53,1,0,0,0,1,1,ENSW
1316,PCON,13,RGN,16,1,0,0,0,1,1,ENSW
1317,PCON,13,CTRY,17,1,0,0,0,1,1,ENSW
1514,CED,15,LAD,14,1,0,1,1,1,1,E
1515,CED,15,CTY,15,1,0,0,0,1,1,E
1516,CED,15,RGN,16,1,0,0,0,1,1,E
1553,CED,15,PFA,53,1,0,0,0,1,1,E
1914,PAR,19,LAD,14,1,0,1,1,1,1,EW
1915,PAR,19,CTY,15,1,0,0,0,1,1,EW
1916,PAR,19,RGN,16,1,0,0,0,1,1,EW
1917,PAR,19,CTRY,17,1,0,0,0,1,1,EW
1953,PAR,19,PFA,53,1,0,0,0,1,1,EW
1944,BUAS,19,BUA,44,1,0,1,1,1,1,EW
1914,BUAS,19,LAD,14,0,0,1,1,1,1,EW
1915,BUAS,19,CTY,15,0,0,1,1,1,1,EW
1916,BUAS,19,RGN,16,0,0,0,0,1,1,EW
1814,BUA,18,LAD,14,0,0,1,1,1,1,EW
1815,BUA,18,CTY,15,0,0,0,0,1,1,EW
1816,BUA,18,RGN,16,0,0,0,0,1,1,EW
1744,MTC,17,BUA,44,1,0,1,1,1,1,E
1716,MTC,17,RGN,16,0,0,1,1,1,1,E
1717,MTC,17,CTRY,17,0,0,1,1,1,1,E
2116,PFA,21,RGN,16,1,0,1,1,1,1,ENSW
2117,PFA,21,CTRY,17,1,0,1,1,1,1,ENSW
2864,STP,28,NHSR,64,1,0,1,1,1,1,E
2817,STP,28,CTRY,17,1,0,1,1,1,1,E
2762,CCG,27,STP,62,1,0,1,1,1,1,E
2763,CCG,27,NHSO,63,1,1,1,1,1,1,E
2764,CCG,27,NHSR,64,1,0,1,1,1,1,E
2717,CCG,27,CTRY,17,1,0,1,1,1,1,ENSW
2964,NHSO,29,NHSR,64,1,1,1,1,1,1,E
2917,NHSO,29,CTRY,17,1,0,1,1,1,1,E
3017,NHSR,30,CTRY,17,1,1,1,1,1,1,E
