FRA,FRAn
E31000001,Avon
E31000002,Bedfordshire
E31000003,Royal Berkshire
E31000004,Buckinghamshire & Milton Keynes
E31000005,Cambridgeshire
E31000006,Cheshire
E31000007,Cleveland
E31000008,Cornwall
E31000009,Cumbria
E31000010,Derbyshire
E31000011,Devon & Somerset
E31000013,County Durham and Darlington
E31000014,East Sussex
E31000015,Essex
E31000016,Gloucestershire
E31000018,Hereford & Worcester
E31000019,Hertfordshire
E31000020,Humberside
E31000022,Kent
E31000023,Lancashire
E31000024,Leicestershire
E31000025,Lincolnshire
E31000026,Norfolk
E31000027,North Yorkshire
E31000028,Northamptonshire
E31000029,Northumberland
E31000030,Nottinghamshire and City of Nottingham
E31000031,Oxfordshire
E31000032,Shropshire
E31000033,Stoke-on-Trent and Staffordshire
E31000034,Suffolk
E31000035,Surrey
E31000036,Warwickshire
E31000037,West Sussex
E31000039,Isles of Scilly
E31000040,Greater Manchester
E31000041,Merseyside
E31000042,South Yorkshire
E31000043,Tyne and Wear
E31000044,West Midlands
E31000045,West Yorkshire
E31000046,London Fire and Emergency Planning Authority
E31000047,Dorset & Wiltshire
E31000048,Hampshire and Isle of Wight
W25000001,North Wales
W25000002,Mid and West Wales
W25000003,South Wales
