PFN,PFNn
S32000003_001,West Dunbartonshire
S32000003_002,"Cowal, Bute and Helensburgh"
S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands"
S32000004_001,East Ayrshire
S32000004_002,North Ayrshire
S32000004_003,South Ayrshire
S32000005_001,Galloway
S32000005_002,Dumfriesshire
S32000006_001,North East
S32000006_002,North West
S32000006_003,South East
S32000006_004,South West
S32000016_001,Central Fife
S32000016_002,East Fife
S32000016_003,West Fife
S32000008_001,Clackmannanshire
S32000008_002,Falkirk
S32000008_003,Stirling
S32000018_001,Glasgow City Centre
S32000018_002,Glasgow North West
S32000018_003,Glasgow East
S32000018_004,Glasgow North
S32000018_005,East Dunbartonshire
S32000018_006,Glasgow South West
S32000018_007,East Renfrewshire
S32000018_008,Glasgow South East
S32000018_009,Glasgow North East
S32000010_001,North Highland
S32000010_002,Inverness
S32000010_003,South Highland
S32000010_004,Orkney Islands
S32000010_005,Shetland Island
S32000010_006,Western Isles
S32000019_001,Monklands and Cumbernauld
S32000019_002,"East Kilbride, Cambuslang and Rutherglen"
S32000019_003,Hamilton and Clydesdale
S32000019_004,"Motherwell, Wishaw and Bellshill"
S32000015_001,Aberdeenshire North
S32000015_002,Aberdeenshire South
S32000015_003,Aberdeen City North
S32000015_004,Aberdeen City South
S32000015_005,Moray
S32000013_001,Inverclyde
S32000013_002,Paisley
S32000013_003,Renfrew
S32000017_001,Angus
S32000017_002,Dundee
S32000017_003,Perth and Kinross
S32000012_001,East Lothian
S32000012_002,Midlothian
S32000012_003,Scottish Borders
S32000012_004,West Lothian
