RGD,RGDn
E28000001,Bolton
E28000002,Bury
E28000003,Manchester
E28000004,Oldham
E28000005,Rochdale
E28000006,Salford
E28000007,Stockport
E28000008,Tameside
E28000009,Trafford
E28000010,Wigan and Leigh
E28000011,Knowsley
E28000012,Liverpool
E28000013,St. Helens
E28000016,Wirral
E28000017,Barnsley
E28000018,Doncaster
E28000019,Rotherham
E28000020,Sheffield
E28000021,Gateshead
E28000022,Newcastle upon Tyne
E28000023,North Tyneside
E28000024,South Tyneside
E28000025,Sunderland
E28000026,Birmingham
E28000027,Coventry
E28000028,Dudley
E28000029,Sandwell
E28000030,Solihull
E28000031,Walsall
E28000032,Wolverhampton
E28000033,Bradford and Keighley
E28000034,Calderdale
E28000037,Leeds
E28000040,Barking and Dagenham
E28000041,Barnet
E28000042,Bexley
E28000043,Brent
E28000044,Bromley
E28000045,Croydon
E28000046,Ealing
E28000047,Enfield
E28000048,Greenwich
E28000049,Hackney
E28000050,Harrow
E28000051,Haringey
E28000052,Havering
E28000053,Hillingdon
E28000054,Hounslow
E28000055,Islington
E28000056,Kensington and Chelsea
E28000057,Kingston upon Thames
E28000058,Lambeth
E28000059,Lewisham
E28000060,London City
E28000061,Merton
E28000062,Tower Hamlets
E28000063,Redbridge
E28000064,Richmond upon Thames
E28000065,Camden
E28000066,Southwark
E28000067,Sutton
E28000068,Waltham Forest
E28000069,Wandsworth
E28000070,Newham
E28000071,Westminster
E28000072,Hammersmith and Fulham
E28000073,Bath and North East Somerset
E28000074,Bristol
E28000075,South Gloucestershire
E28000076,North Somerset
E28000078,Luton
E28000079,Bracknell Forest
E28000080,West Berkshire
E28000081,Reading
E28000082,Slough
E28000083,Windsor and Maidenhead
E28000084,Wokingham
E28000085,Milton Keynes
E28000086,Buckinghamshire
E28000087,Peterborough
E28000088,Cambridgeshire
E28000089,Halton
E28000090,Warrington
E28000092,Middlesbrough
E28000093,Redcar and Cleveland
E28000094,Stockton-on-Tees
E28000095,Hartlepool
E28000096,Isles of Scilly
E28000097,Cornwall
E28000111,Derby
E28000115,Plymouth
E28000116,Torbay
E28000117,Devon
E28000121,Darlington
E28000122,County of Durham
E28000123,Brighton and Hove
E28000124,East Sussex
E28000132,Southend-on-Sea
E28000133,Thurrock
E28000135,Gloucestershire
E28000136,Portsmouth
E28000137,Southampton
E28000138,Hampshire
E28000139,Herefordshire
E28000140,Worcestershire
E28000141,Hertfordshire
E28000142,East Riding of Yorkshire
E28000143,North-East Lincolnshire
E28000144,Hull
E28000145,North Lincolnshire
E28000146,Isle of Wight
E28000147,Medway
E28000148,Kent
E28000149,Blackburn with Darwen
E28000150,Blackpool
E28000151,Lancashire
E28000152,Leicester
E28000153,Rutland
E28000154,Leicestershire
E28000155,Lincolnshire
E28000165,North Yorkshire
E28000166,York
E28000174,Northumberland
E28000179,Nottingham
E28000181,Oxfordshire
E28000182,Telford and Wrekin
E28000183,Shropshire
E28000184,Somerset
E28000185,Stoke-on-Trent
E28000186,Staffordshire
E28000193,Surrey
E28000202,Swindon
E28000203,Wiltshire
E28000204,Bedford
E28000205,Central Bedfordshire
E28000206,Cheshire East
E28000207,Cheshire West and Chester
E28000208,Wakefield
E28000209,Warwickshire
E28000210,Essex
E28000211,West Sussex
E28000212,Northamptonshire
E28000213,Suffolk
E28000214,Norfolk
E28000215,Sefton
E28000216,Cumbria
E28000217,Nottinghamshire
E28000218,Kirklees
E28000219,Derbyshire
E28000220,"Bournemouth, Christchurch and Poole"
E28000221,Dorset
W20000001,Flintshire/Sir Y Fflint
W20000004,Wrexham
W20000008,Pembrokeshire
W20000009,Carmarthenshire/Sir Gaerfyrddin
W20000010,Blaenau Gwent
W20000011,Newport
W20000012,Torfaen
W20000013,Monmouthshire/Sir Fynwy
W20000018,Conwy
W20000021,Ynys Mon (Isle of Anglesey)
W20000022,Merthyr Tydfil/Merthyr Tudful
W20000023,Bridgend
W20000024,Caerphilly
W20000025,Rhondda Cynon Taf
W20000034,Cardiff/Caerdydd
W20000035,Vale of Glamorgan/Bro Morgannwg
W20000036,Neath Port Talbot
W20000037,Swansea
W20000038,Powys
W20000039,Gwynedd
W20000040,Ceredigion
W20000041,Denbighshire/Sir Ddinbych
